name,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,label
fuzz_423.v,0,0,0,4,0,19,2,1,5,1,0,3,3,2,2,3,0,1,1,0,2,0,2,3,0,0,1,2,1,3,2,1,23,28,0,0,0,0,0,0,4,4,24,17,31,54,2,24,76,20,4,52,0,0
fuzz_6348,198,49,287,4,13,279,31,25,57,26,34,20,20,41,25,11,22,12,15,12,14,11,23,7,7,10,13,20,17,21,12,15,259,245,342,62,280,49,13,242,3,3,132,263,473,276,6,19,296,22,4,72,198,0
fuzz_2592.v,7,0,8,3,3,9,2,2,0,1,2,1,1,0,0,0,2,0,0,1,1,1,0,0,1,0,2,1,0,0,1,1,17,27,7,0,7,0,0,0,4,4,11,18,28,46,0,24,64,15,3,39,7,0
fuzz_1264.v,14,5,27,4,3,31,4,1,9,0,3,2,4,5,3,1,0,2,0,0,1,2,1,1,2,2,3,5,1,2,1,1,30,38,25,0,25,5,0,0,3,3,18,25,67,62,1,18,85,20,4,47,14,0
fuzz_3172.v,14,5,25,4,4,54,6,2,15,4,5,3,1,15,3,1,2,3,2,3,0,1,0,1,0,1,2,3,2,6,0,1,36,42,25,0,25,5,0,0,6,6,28,38,74,69,1,36,92,20,4,54,14,0
fuzz_906.v,8,2,13,4,3,35,1,3,16,1,1,2,2,9,0,5,1,0,1,0,4,3,1,2,2,0,2,0,6,5,2,0,14,38,11,0,11,2,0,0,4,4,21,28,41,63,1,24,86,20,4,54,8,0
fuzz_1056.v,12,1,17,4,6,25,2,2,3,2,3,4,2,2,5,1,0,0,1,2,2,0,1,3,3,0,2,1,1,1,0,1,21,49,14,0,14,1,0,0,4,4,21,29,43,73,0,24,97,20,4,61,12,0
fuzz_4455,0,0,1,1,0,19,4,3,4,1,1,1,1,3,1,1,2,2,2,4,0,0,0,2,1,1,2,1,2,1,1,0,25,12,0,0,0,0,0,0,0,0,10,12,15,19,1,0,25,6,1,18,0,0
fuzz_7116,71,14,77,3,3,100,10,5,18,10,10,6,17,16,8,6,4,4,6,7,4,8,9,4,6,3,4,3,5,10,4,5,83,97,106,35,71,14,4,69,2,2,66,85,149,119,2,14,138,18,3,46,71,0
fuzz_4175,317,11,160,7,12,361,33,36,80,26,30,38,33,53,32,23,99,13,12,19,21,21,102,17,17,14,23,16,22,35,18,16,372,395,422,279,143,11,85,0,9,9,227,309,608,450,7,58,489,39,7,126,317,0
fuzz_1358.v,3,2,5,1,1,17,0,3,5,1,1,0,3,3,1,0,1,3,0,2,0,2,0,0,0,0,1,1,0,3,1,1,12,15,5,0,5,2,0,0,0,0,4,15,21,21,1,0,26,5,1,17,3,0
fuzz_7539_bug,509,38,323,6,27,495,52,49,104,38,32,46,47,86,41,29,138,29,24,25,28,19,137,20,19,21,22,21,26,46,21,29,478,555,714,410,304,38,112,87,5,5,293,469,934,599,6,33,632,33,6,84,509,1
fuzz_5191,320,81,413,6,12,437,42,32,109,37,32,39,40,78,28,26,38,16,25,14,22,25,37,32,19,23,19,18,21,39,23,28,398,400,512,118,394,81,17,340,6,6,249,364,788,448,7,41,482,35,6,121,320,0
fuzz_5213,470,120,599,7,22,572,53,54,131,46,58,51,42,93,44,18,55,24,29,28,24,35,59,25,40,25,20,32,32,58,38,28,540,560,743,184,559,120,24,531,6,6,320,526,1057,609,3,40,653,40,7,136,470,0
fuzz_985.v,25,8,39,4,7,62,7,8,12,3,3,9,2,11,7,5,2,2,2,2,2,4,2,1,2,1,7,6,4,7,3,1,48,52,37,0,37,8,0,0,4,4,37,47,90,79,3,24,100,20,4,51,25,0
fuzz_5629,183,45,225,7,8,326,29,30,72,26,24,33,25,59,28,15,34,18,15,12,14,12,24,10,8,19,10,14,17,26,19,24,309,277,286,69,217,45,12,247,6,6,177,196,502,330,9,39,366,38,7,138,183,0
fuzz_3461,345,9,190,4,12,262,18,21,65,26,18,21,19,51,23,15,100,14,25,24,15,16,99,13,17,17,12,16,22,24,16,10,257,389,443,270,173,9,84,0,3,3,154,265,525,416,2,20,440,22,4,69,345,0
fuzz_5271,356,89,441,8,17,435,47,32,92,41,33,41,40,70,39,25,45,16,21,17,19,20,39,17,23,24,24,21,26,47,20,21,416,456,547,129,418,89,21,401,8,8,275,368,739,515,7,51,560,44,8,152,356,0
fuzz_6575,288,83,404,6,14,449,44,46,84,28,43,52,43,65,44,26,28,21,25,25,14,26,29,20,19,24,28,15,20,33,24,29,446,340,478,93,385,83,7,362,6,6,263,352,715,389,10,39,418,33,6,91,288,0
fuzz_3710,204,4,102,4,9,158,18,13,38,15,10,12,11,32,9,10,60,13,5,7,9,14,62,9,6,10,3,3,3,15,12,6,144,238,261,165,96,4,54,0,3,3,112,128,271,270,6,21,291,23,4,60,204,0
fuzz_4628,160,6,96,3,4,171,17,16,39,15,10,18,15,26,15,8,45,9,9,10,6,6,46,5,7,6,5,10,5,15,5,8,168,187,217,128,89,6,41,0,2,2,73,147,296,207,1,13,226,17,3,46,160,0
fuzz_2178.v,8,2,13,2,2,22,2,3,5,1,2,0,1,4,4,1,2,1,0,0,1,0,0,2,2,0,1,2,0,1,3,0,22,17,11,0,11,2,0,0,1,1,14,12,24,29,1,6,40,10,2,20,8,0
fuzz_6647,239,64,319,4,8,311,25,27,78,32,27,26,21,46,29,12,30,9,15,10,11,22,27,17,18,14,17,19,7,36,12,17,300,290,393,92,301,64,13,243,3,3,182,274,518,321,5,20,343,23,4,77,239,0
fuzz_1892.v,4,0,4,2,3,24,1,3,5,1,5,2,1,5,1,0,0,1,1,1,2,1,1,1,0,0,2,2,2,2,0,0,15,17,4,0,4,0,0,0,1,1,13,7,20,29,1,6,40,10,2,24,4,0
fuzz_7633_bug,542,50,355,6,28,567,44,43,129,50,52,44,52,95,58,29,145,22,32,27,28,25,137,27,22,32,27,32,23,68,25,42,534,597,781,448,333,50,115,107,9,9,326,544,1058,642,5,55,674,31,6,95,542,1
fuzz_2100.v,12,2,16,3,7,30,1,2,5,4,2,4,3,4,5,0,2,0,2,1,1,1,1,1,2,2,1,1,0,1,0,1,17,35,14,0,14,2,0,0,4,4,9,13,27,55,1,24,72,15,3,42,12,0
fuzz_520.v,20,4,26,4,6,39,3,6,5,6,5,2,5,4,3,2,1,1,5,3,2,1,3,2,0,2,2,1,1,5,0,3,47,54,26,0,26,4,0,0,3,3,37,36,75,79,2,18,101,20,4,57,20,0
fuzz_6262,123,32,150,6,6,195,19,16,41,15,17,22,13,41,11,10,17,8,9,7,10,10,18,8,10,10,11,8,7,16,10,11,160,191,188,48,140,32,8,132,6,6,106,163,319,238,7,39,271,34,6,108,123,0
fuzz_4152,183,5,108,4,9,183,20,13,52,8,13,17,14,35,11,12,55,7,6,6,8,10,54,13,14,1,7,8,8,21,6,5,149,219,233,139,94,5,44,0,3,3,92,138,294,249,4,20,272,23,4,62,183,0
fuzz_7524_bug,518,48,353,6,36,524,56,45,119,45,45,42,43,92,37,24,140,22,31,29,18,20,138,34,35,34,21,24,24,49,33,21,533,573,758,440,318,48,114,87,7,7,317,506,935,622,9,46,652,33,6,95,518,1
fuzz_6668,188,45,250,5,9,280,27,22,72,22,28,26,21,43,19,11,25,9,13,11,19,13,24,10,12,8,14,12,10,35,9,14,255,247,312,74,238,45,11,204,4,4,164,226,454,284,5,27,312,28,5,91,188,0
fuzz_3995,59,1,34,1,3,46,2,2,13,3,7,3,3,9,4,3,17,2,3,0,1,2,19,3,3,3,1,2,2,6,1,2,42,70,83,52,31,1,17,0,0,0,28,44,93,78,2,0,83,6,1,17,59,0
fuzz_6539,324,85,449,9,21,454,40,40,103,43,39,33,37,83,36,21,48,22,23,23,24,31,28,15,26,18,16,20,16,58,25,30,435,426,511,88,423,85,12,400,8,8,256,390,784,495,12,51,541,49,9,159,324,0
fuzz_6149,209,48,269,7,15,288,22,16,63,35,22,30,35,37,28,7,26,19,15,13,11,21,36,22,11,12,5,18,17,35,7,13,289,301,336,78,258,48,12,282,6,6,189,258,530,348,2,40,392,39,7,137,209,0
fuzz_4817,114,26,139,6,10,163,15,9,30,14,21,15,12,26,21,7,18,6,11,9,8,4,10,7,4,6,9,8,8,19,5,9,161,169,170,35,135,26,6,152,5,5,116,128,277,215,7,33,248,34,6,94,114,0
fuzz_4608,154,4,79,3,5,166,14,19,44,10,12,10,18,30,9,12,43,10,5,4,3,7,48,8,7,6,4,10,6,18,5,8,150,190,198,126,72,4,38,0,2,2,100,118,280,213,4,14,229,17,3,55,154,0
fuzz_759.v,7,0,11,4,3,39,8,1,6,0,4,2,6,8,4,2,1,2,5,2,0,2,3,1,4,4,4,1,1,4,1,0,34,41,7,0,7,0,0,0,6,6,23,20,51,71,4,36,91,20,4,60,7,0
fuzz_2670.v,25,11,49,3,4,43,3,4,11,2,3,3,4,11,2,3,1,1,0,0,2,2,5,3,2,1,1,0,4,7,4,2,48,48,47,0,47,11,0,0,2,2,31,50,88,68,3,12,83,15,3,40,25,0
fuzz_6750,231,59,300,10,19,335,30,33,63,32,28,33,33,56,27,15,31,15,9,19,14,18,32,16,18,20,14,23,14,34,15,12,335,362,374,92,282,59,12,277,10,10,217,294,649,439,10,67,496,57,10,198,231,0
fuzz_7375_bug,692,112,940,6,12,1036,93,89,241,89,86,77,100,160,101,43,177,45,57,45,46,46,177,46,46,46,43,42,51,100,61,50,956,780,1146,252,894,112,126,0,6,6,593,928,1836,828,7,42,862,35,6,129,692,1
fuzz_4338,269,6,145,6,12,311,24,23,67,20,27,25,29,72,24,12,83,11,14,15,21,12,84,19,18,12,17,20,21,27,9,18,312,354,347,220,127,6,70,0,6,6,196,281,517,400,8,38,430,32,6,123,269,0
fuzz_7417_bug,142,10,141,7,19,231,26,13,47,16,22,20,22,40,25,10,27,8,14,13,12,6,22,12,15,12,13,9,10,28,10,12,222,238,177,51,126,10,16,0,7,7,158,187,375,291,7,47,330,39,7,142,142,1
fuzz_3188.v,0,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,7,0,0,0,0,0,0,0,0,5,3,5,12,0,0,18,5,1,12,0,0
fuzz_6289,23,5,32,3,3,48,1,7,13,7,6,0,5,7,2,1,6,3,4,2,5,3,6,0,3,4,1,0,5,4,1,3,41,61,33,4,29,5,1,42,2,2,31,37,69,84,4,13,100,17,3,57,23,0
fuzz_5678,293,70,386,10,16,442,37,48,94,37,32,36,36,79,43,18,39,21,25,16,14,18,51,10,16,23,22,14,33,46,18,18,425,422,460,90,370,70,15,358,9,9,242,319,696,499,13,58,551,55,10,193,293,0
fuzz_3067.v,4,0,4,1,3,4,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,4,0,4,0,0,0,0,0,7,7,8,19,0,0,25,5,1,15,4,0
fuzz_3659,337,10,190,8,16,359,39,37,80,33,17,30,31,60,32,17,102,22,21,19,15,23,108,14,20,20,12,20,13,43,15,9,314,430,448,278,170,10,86,0,12,12,214,322,603,494,7,81,540,45,8,150,337,0
fuzz_2081.v,5,0,7,3,4,21,1,1,7,0,3,1,1,5,2,1,0,2,2,1,0,3,1,1,2,1,1,0,1,6,1,0,22,29,5,0,5,0,0,0,4,4,20,12,25,50,2,24,66,15,3,43,5,0
fuzz_4838,273,81,400,4,11,380,34,36,83,33,36,32,36,66,24,15,39,11,17,22,20,16,27,17,12,18,21,23,21,32,21,23,363,342,489,101,388,81,14,322,3,3,210,389,684,372,5,20,393,22,4,94,273,0
fuzz_6230,26,6,34,1,1,41,5,3,12,6,4,3,3,4,1,2,4,3,6,0,3,4,3,0,2,1,2,1,3,10,3,2,39,33,41,9,32,6,2,35,0,0,31,31,70,41,2,0,46,6,1,13,26,0
fuzz_7979_bug,636,41,361,6,29,561,58,37,123,42,51,55,45,99,51,26,168,21,31,23,34,26,176,28,27,26,24,27,34,43,23,27,588,680,891,557,334,41,149,114,7,7,362,552,1085,730,7,49,765,36,6,87,636,1
fuzz_287.v,7,3,15,3,1,27,8,4,4,2,0,1,3,4,1,0,0,1,2,2,1,0,1,1,1,1,1,1,0,1,1,1,24,23,14,0,14,3,0,0,4,4,14,22,36,44,2,24,60,15,3,35,7,0
fuzz_6017,276,62,335,7,12,313,28,25,75,31,22,30,26,51,25,17,27,11,15,21,18,26,27,10,13,16,16,12,17,33,9,21,323,364,412,90,322,62,13,315,6,6,183,310,639,418,7,41,459,41,7,135,276,0
fuzz_7007,22,4,21,1,2,11,1,0,3,2,1,0,1,2,1,0,2,1,1,0,0,0,3,1,0,2,0,0,0,1,1,1,7,25,30,9,21,4,2,11,0,0,8,20,33,31,1,0,36,5,1,8,22,0
fuzz_4293,155,2,93,4,6,185,17,16,36,22,15,12,13,31,23,12,43,8,17,11,4,9,41,14,10,7,9,4,10,15,9,6,177,202,200,117,83,2,37,0,3,3,103,157,304,231,4,19,253,22,4,72,155,0
fuzz_5899,55,14,59,2,4,72,2,7,13,16,5,9,6,7,7,2,9,5,5,3,2,2,10,5,0,5,4,4,3,9,1,3,64,68,79,20,59,14,4,55,1,1,44,58,101,82,3,6,91,10,2,24,55,0
fuzz_6132,281,67,369,8,11,392,32,42,92,25,28,39,32,70,32,17,35,10,22,29,14,17,36,17,18,24,15,21,16,50,11,28,382,385,440,89,351,67,17,347,7,7,244,354,641,444,6,47,492,46,8,157,281,0
fuzz_3520,715,18,364,6,26,642,50,67,140,56,64,55,62,93,55,44,215,22,25,31,25,36,214,24,32,28,26,25,27,53,22,27,546,782,941,609,332,18,187,0,8,8,338,541,1065,828,5,51,862,33,6,108,715,0
fuzz_3725,102,3,62,2,2,92,16,7,16,8,8,5,8,19,5,1,28,4,7,7,3,5,33,4,5,11,4,3,1,8,3,6,95,125,133,76,57,3,24,0,1,1,64,91,202,139,1,7,152,12,2,36,102,0
fuzz_5224,60,14,82,1,3,70,7,4,14,7,12,4,3,14,5,3,5,2,7,3,6,4,4,1,5,8,6,1,2,7,3,3,70,73,93,16,77,14,2,84,0,0,53,73,139,79,0,0,86,6,1,19,60,0
fuzz_3266,20,0,13,1,1,13,0,1,5,0,0,1,1,4,1,1,5,0,0,0,1,1,5,1,1,0,0,1,0,0,1,1,12,26,25,13,12,0,5,0,0,0,14,10,27,31,0,0,37,5,1,11,20,0
fuzz_4402,792,17,389,11,35,775,60,74,179,74,57,58,78,138,57,36,253,36,25,34,41,41,252,33,38,27,30,39,41,75,37,38,659,933,1037,686,351,17,215,0,12,12,374,619,1258,1013,8,78,1076,60,11,213,792,0
fuzz_2028.v,14,3,19,4,5,28,3,2,6,2,3,2,4,3,3,0,2,0,1,0,4,1,2,1,1,0,0,1,0,2,2,0,22,43,18,0,18,3,0,0,4,4,17,27,53,70,3,24,91,20,4,53,14,0
fuzz_6687,111,27,149,6,10,186,14,14,48,12,15,19,15,35,14,10,18,14,6,12,10,9,22,7,8,5,9,11,12,14,8,9,172,159,176,35,141,27,5,142,6,6,133,134,260,207,9,40,237,33,6,87,111,0
fuzz_3348,22,1,10,2,2,58,6,7,13,5,3,3,8,10,3,1,4,3,1,2,0,2,6,3,0,1,0,2,3,3,2,0,50,50,26,16,10,1,4,0,1,1,28,31,59,65,4,6,73,10,2,39,22,0
fuzz_5183,404,89,472,9,22,494,39,41,101,41,35,44,52,96,45,25,35,28,23,21,28,19,44,24,28,30,27,26,25,49,18,30,505,514,596,152,444,89,20,419,9,9,319,439,876,584,12,59,630,49,9,168,404,0
fuzz_4957,275,70,351,6,11,383,33,29,76,47,39,20,45,63,31,16,25,21,22,13,14,14,23,16,14,11,18,16,14,29,16,19,352,357,419,82,337,70,11,291,6,6,186,295,582,404,7,41,437,34,6,122,275,0
fuzz_4483,215,5,118,7,9,216,17,18,50,26,19,18,15,34,19,7,72,8,9,5,15,15,72,8,16,5,7,15,3,25,14,17,212,277,288,186,102,5,63,0,6,6,146,162,425,325,3,40,368,39,7,107,215,0
fuzz_3255,169,6,93,4,8,166,11,13,38,9,15,15,15,27,23,5,63,11,2,7,10,8,56,3,12,9,7,10,9,21,6,9,132,218,228,147,81,6,47,0,3,3,112,148,270,249,5,20,271,23,4,75,169,0
fuzz_6493,205,47,260,5,10,262,17,24,71,21,23,20,18,46,22,9,24,14,13,12,14,15,26,8,11,11,7,12,12,22,12,12,233,273,317,68,249,47,12,235,4,4,165,214,457,307,3,25,336,27,5,99,205,0
fuzz_3456,482,10,243,7,24,436,38,37,89,40,31,47,38,78,38,25,142,24,25,24,20,21,151,24,20,18,18,25,25,29,17,25,398,572,627,404,223,10,131,0,6,6,262,397,793,623,7,39,661,38,7,134,482,0
fuzz_7412_bug,106,9,103,7,19,204,16,15,57,10,8,21,27,45,5,18,24,7,13,13,12,12,21,12,6,16,13,13,7,22,9,7,194,191,138,41,97,9,11,0,7,7,147,183,366,242,5,45,283,39,7,131,106,1
fuzz_4215,23,1,12,2,1,27,3,6,5,1,4,1,2,4,1,0,7,1,3,1,1,1,6,1,2,1,2,2,2,2,1,0,31,36,30,20,10,1,5,0,1,1,26,29,37,48,0,6,61,11,2,25,23,0
fuzz_4781,100,1,44,2,5,97,8,13,20,3,8,9,9,16,11,6,35,2,7,3,5,4,34,6,1,5,4,1,5,9,2,5,83,120,129,86,43,1,28,0,1,1,62,93,145,134,1,7,147,12,2,33,100,0
fuzz_2392.v,9,1,12,3,4,13,1,1,3,1,1,1,3,1,1,1,0,0,1,0,3,1,0,1,1,0,1,0,0,1,0,0,19,26,11,0,11,1,0,0,3,3,14,17,16,46,2,18,62,15,3,35,9,0
fuzz_939.v,9,0,10,4,5,28,4,6,3,2,3,5,2,2,1,0,1,1,1,0,3,0,1,0,1,2,3,0,1,2,0,1,28,36,9,0,9,0,0,0,3,3,21,17,47,60,1,18,83,20,4,50,9,0
fuzz_604.v,12,2,17,2,4,17,2,1,1,1,2,2,1,4,3,0,0,1,0,1,1,1,0,2,1,1,1,2,2,1,0,1,18,28,16,0,16,2,0,0,1,1,11,20,37,39,0,6,51,10,2,27,12,0
fuzz_896.v,4,1,6,3,2,22,3,1,6,1,2,5,1,3,0,0,1,0,1,1,0,0,1,1,1,1,0,0,2,1,2,0,8,19,5,0,5,1,0,0,4,4,7,10,20,39,1,24,56,15,3,34,4,0
fuzz_7625_bug,427,29,278,5,23,366,48,43,66,34,30,39,29,49,28,20,110,17,19,16,20,15,114,16,19,12,25,20,15,44,18,23,390,477,614,355,259,29,97,79,4,4,226,369,739,517,8,26,542,28,5,82,427,1
fuzz_731.v,27,4,36,4,9,51,10,3,13,6,4,1,4,9,1,0,3,0,3,3,3,2,1,7,1,4,1,2,6,5,0,1,51,53,35,0,35,4,0,0,8,8,24,36,91,84,3,48,105,20,4,54,27,0
fuzz_7150,310,64,355,7,15,395,27,36,86,41,41,31,28,76,29,12,46,15,23,22,15,17,42,15,23,20,16,12,23,44,15,27,374,380,458,126,332,64,23,328,6,6,218,333,685,433,9,39,469,38,7,114,310,0
fuzz_1665.v,8,0,9,4,4,26,4,2,4,2,4,4,3,2,1,1,3,2,2,0,0,2,2,2,1,0,1,1,0,3,0,1,28,34,8,0,8,0,0,0,8,8,17,16,40,62,0,48,86,20,4,54,8,0
fuzz_5715,335,81,422,9,20,404,33,41,75,39,46,31,34,68,37,17,36,19,15,6,22,21,42,31,26,23,10,23,17,31,17,23,372,454,513,117,396,81,17,370,8,8,242,372,697,518,7,52,569,49,9,176,335,0
fuzz_3557,515,16,277,7,25,520,56,31,116,33,49,47,45,95,48,16,156,19,29,26,18,24,171,23,29,18,27,28,25,48,27,23,484,603,675,427,248,16,137,0,6,6,276,424,847,658,11,38,692,38,7,132,515,0
fuzz_2980.v,37,11,57,3,8,47,3,5,10,5,2,6,5,8,3,1,2,1,1,2,3,2,1,3,2,1,3,5,1,6,5,6,49,59,55,0,55,11,0,0,3,3,38,48,102,78,1,18,95,15,3,40,37,0
fuzz_7832_bug,670,56,368,6,33,585,54,55,135,43,52,46,42,101,57,26,181,36,22,32,26,21,176,31,36,36,30,36,24,64,25,20,576,711,962,630,332,56,145,116,6,6,344,608,1166,758,7,39,791,34,6,81,670,1
fuzz_7815_bug,826,63,428,7,40,743,67,59,168,57,45,61,68,138,80,43,234,38,37,49,36,32,227,32,43,40,34,34,39,64,33,37,763,884,1190,805,385,63,196,137,6,6,450,768,1446,939,11,39,973,38,7,102,826,1
fuzz_6851,13,1,11,1,1,20,2,2,6,1,1,2,1,3,2,1,4,0,0,0,1,0,1,1,0,0,0,0,1,3,3,0,30,19,15,4,11,1,1,6,0,0,9,19,23,27,2,0,32,6,1,12,13,0
fuzz_5783,263,60,330,6,13,302,29,18,67,25,22,26,39,52,24,13,33,10,14,13,16,16,37,19,17,15,10,13,14,22,16,17,273,316,403,90,313,60,18,269,6,6,178,268,499,362,7,38,394,33,6,92,263,0
fuzz_531.v,3,1,5,1,1,7,0,1,2,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,7,10,5,0,5,1,0,0,0,0,6,7,15,16,1,0,21,5,1,12,3,0
fuzz_2166.v,8,2,10,2,5,15,0,1,3,1,1,2,1,3,3,0,0,1,1,2,1,3,1,2,0,0,0,0,2,0,0,2,16,22,10,0,10,2,0,0,1,1,9,13,35,34,1,6,45,10,2,25,8,0
fuzz_3917,20,0,10,1,1,35,1,1,9,2,5,9,4,3,1,0,7,2,1,0,2,2,6,1,2,1,0,2,0,5,0,2,34,29,26,18,8,0,6,0,0,0,23,15,43,37,2,0,42,6,1,15,20,0
fuzz_318.v,19,9,31,4,3,64,4,7,19,9,3,1,1,15,5,3,4,0,2,0,4,3,4,4,0,6,1,3,2,3,2,1,39,44,31,0,31,9,0,0,7,7,27,41,72,73,2,42,95,20,4,52,19,0
fuzz_1258.v,14,0,16,3,7,21,2,3,4,1,1,2,4,4,0,1,0,1,0,1,0,1,0,0,2,1,1,1,1,1,0,0,14,31,14,0,14,0,0,0,2,2,17,16,35,49,1,12,66,15,3,34,14,0
fuzz_1103.v,0,0,0,1,0,8,2,1,0,0,0,1,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,10,11,0,0,0,0,0,0,0,0,6,7,12,16,0,0,22,5,1,16,0,0
fuzz_2247.v,5,3,8,1,1,15,0,0,3,2,0,2,3,4,1,0,1,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,14,11,8,0,8,3,0,0,0,0,8,9,24,17,1,0,22,5,1,11,5,0
fuzz_3804,172,4,86,4,10,217,18,19,55,18,12,16,19,41,19,12,57,11,11,10,6,10,56,7,12,11,10,8,7,15,9,7,185,208,224,150,74,4,47,0,3,3,100,135,294,239,6,19,259,22,4,61,172,0
fuzz_2025.v,19,8,38,4,5,51,6,2,10,4,6,3,7,9,4,3,1,2,5,3,2,2,2,4,2,2,4,1,0,4,2,1,45,54,36,0,36,8,0,0,4,4,36,47,100,79,1,24,102,20,4,59,19,0
fuzz_6390,78,19,97,1,3,102,7,12,21,9,9,7,5,14,18,2,5,1,6,4,3,4,8,4,2,3,6,3,7,5,3,2,76,82,126,31,95,19,3,94,0,0,51,71,149,88,0,0,95,6,1,10,78,0
fuzz_1864.v,10,3,22,3,3,36,3,1,6,4,0,9,4,4,5,0,1,1,1,0,0,0,1,1,2,1,3,1,2,0,1,2,27,33,20,0,20,3,0,0,5,5,15,18,53,54,1,30,71,15,3,43,10,0
fuzz_4395,36,0,20,1,1,28,2,1,8,1,3,2,5,0,6,1,13,2,4,2,4,1,12,2,3,2,0,2,1,2,3,1,31,44,47,30,17,0,11,0,0,0,23,32,56,50,0,0,57,6,1,14,36,0
fuzz_1445.v,8,4,14,1,1,13,1,2,3,0,4,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,4,12,13,0,13,4,0,0,0,0,4,8,14,17,0,0,23,5,1,9,8,0
fuzz_998.v,37,17,72,4,7,53,6,2,13,4,1,4,6,9,8,3,0,5,3,6,3,2,3,5,4,3,2,1,1,6,3,2,56,71,68,0,68,17,0,0,5,5,42,61,107,98,2,30,120,20,4,59,37,0
fuzz_1529.v,0,0,0,1,0,8,1,0,2,0,2,0,2,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,12,10,0,0,0,0,0,0,0,0,6,5,11,16,1,0,21,5,1,15,0,0
fuzz_7652_bug,468,41,308,5,22,466,50,37,109,43,32,34,34,92,35,18,121,29,25,27,33,14,122,25,23,20,28,16,21,48,20,23,493,503,697,412,285,41,95,94,5,5,309,444,946,543,7,32,569,28,5,68,468,1
fuzz_4471,161,4,88,6,9,167,7,11,40,19,11,20,18,28,13,8,49,8,5,8,7,9,49,10,5,8,10,7,11,20,8,12,198,197,210,127,83,4,41,0,5,5,122,136,290,239,4,32,274,33,6,74,161,0
fuzz_2400.v,8,2,13,1,2,10,1,2,0,1,1,3,1,0,1,1,1,0,1,0,1,2,1,0,1,0,0,0,0,1,0,1,6,17,12,0,12,2,0,0,0,0,3,12,22,22,0,0,28,5,1,14,8,0
fuzz_4165,379,17,203,7,15,352,25,28,83,32,27,34,27,69,27,24,109,15,21,20,14,19,114,34,21,20,11,24,19,36,23,23,376,446,502,320,182,17,94,0,7,7,218,332,636,496,6,44,534,37,7,111,379,0
fuzz_7671_bug,330,21,221,5,18,328,35,19,68,31,33,39,34,45,24,19,90,22,13,14,15,27,90,20,14,16,18,15,21,35,12,11,330,372,471,264,207,21,74,58,9,9,185,328,582,412,5,56,438,26,5,77,330,1
fuzz_1596.v,5,0,6,4,3,19,0,2,6,1,1,2,0,6,1,0,1,1,0,1,2,0,2,0,1,1,0,0,1,1,0,1,18,33,5,0,5,0,0,0,3,3,9,18,39,56,0,18,80,20,4,51,5,0
fuzz_3626,185,2,96,8,8,269,30,19,41,27,26,31,25,43,27,10,68,12,7,18,18,12,63,10,14,10,8,17,11,22,17,14,274,283,241,159,82,2,50,0,8,8,169,220,445,344,10,51,385,43,8,149,185,0
fuzz_3925,399,9,216,7,22,455,37,44,100,38,38,39,33,86,40,21,135,27,15,20,19,17,144,19,22,30,13,19,23,36,17,29,435,490,528,334,194,9,111,0,8,8,243,350,705,542,5,52,583,39,7,138,399,0
fuzz_4820,360,93,494,8,12,466,36,35,104,56,37,39,36,78,45,24,28,24,15,25,29,22,26,32,18,23,29,21,35,41,18,22,487,440,588,112,476,93,11,477,10,10,294,410,821,507,11,68,550,46,8,136,360,0
fuzz_2583.v,9,3,13,1,3,12,1,1,2,2,1,2,2,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,0,0,9,11,12,0,12,3,0,0,0,0,5,4,23,16,0,0,22,5,1,7,9,0
fuzz_7223_bug,695,57,442,5,50,670,65,46,153,48,45,57,55,135,66,25,148,26,36,32,33,29,131,32,30,33,32,42,34,61,31,45,670,714,899,487,412,57,106,0,4,4,414,687,1300,751,4,27,781,29,5,52,695,1
fuzz_1611.v,10,7,22,1,2,21,2,3,5,1,2,2,1,4,1,0,0,0,0,1,2,2,2,0,0,0,0,0,0,2,0,1,17,13,22,0,22,7,0,0,0,0,13,14,37,18,0,0,24,5,1,8,10,0
fuzz_584.v,2,0,4,4,1,25,2,1,8,3,2,2,2,3,2,1,1,1,1,1,1,2,0,0,2,0,0,0,3,4,0,1,30,34,2,0,2,0,0,0,4,4,18,12,40,59,1,24,82,20,4,56,2,0
